OFFICE,PROPERTY_ADDRESS,CITY,STATE_PROVINCE,ZIP_POSTAL_CODE,SALES_VOLUME,ACTUAL_CLOSE_DATE,SALES_ID
0005,14764 Leeman Street,Bennington,NE,68007,"$364,622 ",7/11/2022,296
0001,14826 Wild Indigo Street,Bennington,NE,68007,"$514,826 ",6/2/2022,535
0003,14850 Hanover Street,Bennington,NE,68007,"$479,900 ",3/7/2022,350
0001,15224 Vane Street,Bennington,NE,68007,"$475,000 ",9/15/2022,384
0001,15324 N 2nd Street,Bennington,NE,68007,"$500,000 ",4/14/2022,453
0001,15324 N 2nd Street,Bennington,NE,68007,"$500,000 ",4/14/2022,417
0001,15406 Fillmore Circle,Bennington,NE,68007,"$220,000 ",8/29/2022,237
0004,15658 Rosewater Parkway,Bennington,NE,68007,"$800,000 ",11/22/2022,434
0004,15658 Rosewater Parkway,Bennington,NE,68007,"$800,000 ",11/22/2022,382
0004,15663 Sheffield Circle,Bennington,NE,68007,"$475,000 ",7/29/2022,89
0004,15821 N 2nd St,Bennington,NE,68007,"$418,500 ",9/9/2022,160
0001,15958 Young Street,Bennington,NE,68007,"$495,000 ",7/15/2022,74
0004,16008 Weber Street,Bennington,NE,68007,"$360,000 ",6/1/2022,394
0004,16009 Weber Street,Bennington,NE,68007,"$350,000 ",2/23/2022,394
0004,16014 Potter Street,Bennington,NE,68007,"$780,000 ",7/29/2022,533
0004,16014 Potter Street,Bennington,NE,68007,"$780,000 ",7/29/2022,262
0001,16031 Whitmore Street,Bennington,NE,68007,"$427,000 ",6/24/2022,89
0005,16172 Sunflower Street,Bennington,NE,68007,"$680,000 ",5/11/2022,394
0005,16172 Sunflower Street,Bennington,NE,68007,"$680,000 ",5/11/2022,296
0005,16283 Reynolds Street,Bennington,NE,68007,"$499,900 ",4/29/2022,381
0001,16388 Mormon Street,Bennington,NE,68007,"$410,000 ",7/15/2022,10036
0001,16522 Hanover,Bennington,NE,68007,"$364,000 ",7/11/2022,10018
0003,16617 Vane Street,Bennington,NE,68007,"$388,310 ",4/1/2022,10056
0004,17007 Potter Street,Bennington,NE,68007,"$447,749 ",7/8/2022,89
0001,17014 Isabella St.,Bennington,NE,68007,"$578,000 ",5/4/2022,10036
0004,17023 Isabella Street,Bennington,NE,68007,"$416,909 ",3/3/2022,89
0004,17100 Clay Street,Bennington,NE,68007,"$590,000 ",10/31/2022,10059
0004,17143 Potter Street,Bennington,NE,68007,"$468,000 ",8/25/2022,89
0004,17202 Sarah Street,Bennington,NE,68007,"$416,168 ",1/20/2022,279
0004,17205 Sarah Street,Bennington,NE,68007,"$578,000 ",7/8/2022,89
0005,17237 Bondesson Street,Bennington,NE,68007,"$615,000 ",4/22/2022,376
0003,17387 Reynolds Street,Bennington,NE,68007,"$338,076 ",1/31/2022,170
0001,17410 Clay Street,Bennington,NE,68007,"$340,000 ",7/8/2022,10056
0001,17502 Clay Street,Bennington,NE,68046,"$876,824 ",11/1/2022,530
0001,17502 Clay Street,Bennington,NE,68046,"$876,824 ",11/1/2022,161
0001,17507 Tucker Street,Bennington,NE,68007,"$296,745 ",8/12/2022,161
0001,17511 Tucker Street,Bennington,NE,68007,"$298,665 ",8/3/2022,161
0005,17519 Tucker Street,Bennington,NE,68007,"$582,290 ",8/5/2022,281
0005,17519 Tucker Street,Bennington,NE,68007,"$582,290 ",8/5/2022,161
0004,17520 Clay Street,Bennington,NE,68007,"$402,328 ",5/10/2022,161
0001,17527 Tucker Street,Bennington,NE,68007,"$296,195 ",9/2/2022,161
0001,17546 Samuel St,Bennington,NE,68007,"$854,880 ",10/12/2022,161
0001,17546 Samuel St,Bennington,NE,68007,"$854,880 ",10/12/2022,161
0001,17602 Clay Street,Bennington,NE,68007,"$813,798 ",7/26/2022,161
0001,17602 Clay Street,Bennington,NE,68007,"$813,798 ",7/26/2022,161
0004,17605 Tucker Street,Bennington,NE,68007,"$706,830 ",11/22/2022,161
0004,17605 Tucker Street,Bennington,NE,68007,"$706,830 ",11/22/2022,161
0004,17606 Clay Street,Bennington,NE,68007,"$410,730 ",4/13/2022,161
0001,17606 Samuel Street,Bennington,NE,68007,"$383,599 ",8/30/2022,161
0004,17613 Clay Street,Bennington,NE,68007,"$351,590 ",7/20/2022,161
0001,17614 Clay Street,Bennington,NE,68007,"$358,352 ",2/15/2022,161
