OFFICE,PROPERTY_ADDRESS,CITY,STATE_PROVINCE,ZIP_POSTAL_CODE,SALES_VOLUME,ACTUAL_CLOSE_DATE,SALES_ID
0004,13807 South 42nd Avenue,Bellevue,NE,68123,"$280,000 ",11/30/2022,434
0003,13811 South 41st Street,Bellevue,NE,68123,"$650,000 ",11/18/2022,478
0005,13903 S 44th Street,Bellevue,NE,68123,"$290,000 ",4/15/2022,296
0004,13906 Kelly Drive,Bellevue,NE,68123,"$360,000 ",8/15/2022,530
0001,13907 S 28 Avenue Circle,Bellevue,NE,68123,"$275,000 ",9/2/2022,269
0005,13910 Kelly Drive,Bellevue,NE,68123,"$361,000 ",6/30/2022,520
0001,14002 Tregaron Ridge Avenue Unit B,Bellevue,NE,68123,"$388,000 ",1/28/2022,10036
0001,14002 Tregaron Ridge Avenue Unit B,Bellevue,NE,68123,"$388,000 ",1/28/2022,513
0001,14007 Kelly Drive,Bellevue,NE,68123,"$335,000 ",10/7/2022,10059
0003,1401 Englewood Drive,Bellevue,NE,68005,"$142,250 ",12/29/2022,556
0001,1403 Cascio Drive,Bellevue,NE,68005,"$230,000 ",6/1/2022,10015
0005,1403 Georgia Avenue,Bellevue,NE,68147,"$417,000 ",10/7/2022,223
0004,1404 Thomas Drive,Bellevue,NE,68005,"$480,000 ",2/8/2022,486
0004,1404 Thomas Drive,Bellevue,NE,68005,"$480,000 ",2/8/2022,10052
0005,1405 Cascio Dr.,Bellevue,NE,68005,"$570,000 ",5/2/2022,262
0005,1405 Cascio Dr.,Bellevue,NE,68005,"$570,000 ",5/2/2022,95
0005,14302 South 31st Street,Bellevue,NE,68123,"$315,000 ",6/22/2022,223
0004,14312 South 35th Street,Bellevue,NE,68123,"$273,000 ",1/28/2022,394
0005,14318 S 20th Street,Bellevue,NE,68123,"$334,900 ",1/7/2022,296
0005,14320 Tregaron Drive,Bellevue,NE,68123,"$620,000 ",3/4/2022,104
0005,14320 Tregaron Drive,Bellevue,NE,68123,"$620,000 ",3/4/2022,73
0005,14510 South 22nd Street,Bellevue,NE,68123,"$375,000 ",12/2/2022,223
0004,14514 South 20th Street,Bellevue,NE,68123,"$321,000 ",7/15/2022,10052
0004,14611 S 24th St,Bellevue,NE,68123,"$415,000 ",4/1/2022,10059
0005,14706 South 23rd Street,Bellevue,NE,68123,"$360,000 ",9/7/2022,333
0005,14802 S 24th St,Bellevue,NE,68123,"$764,000 ",4/1/2022,224
0005,14802 S 24th St,Bellevue,NE,68123,"$764,000 ",4/1/2022,224
0005,14807 South 20th Street,Bellevue,NE,68123,"$345,000 ",7/22/2022,333
0001,14902 Normandy Boulevard,Bellevue,NE,68123,"$245,000 ",7/8/2022,446
0005,14903 S 22nd St,Bellevue,NE,68123,"$400,000 ",6/6/2022,333
0005,14904 S 22nd St,Bellevue,NE,68123,"$760,000 ",6/15/2022,333
0005,14904 S 22nd St,Bellevue,NE,68123,"$760,000 ",6/15/2022,333
0001,14904 South 23rd Street,Bellevue,NE,68123,"$357,500 ",6/17/2022,224
0005,14905 South 22nd Street,Bellevue,NE,68123,"$390,000 ",6/13/2022,493
0001,15006 South 19th Street,Bellevue,NE,68123,"$340,000 ",9/30/2022,262
0005,15009 Eureux Street,Bellevue,NE,68123,"$500,000 ",4/5/2022,332
0005,15009 Eureux Street,Bellevue,NE,68123,"$500,000 ",4/5/2022,223
0003,1507 Madison Street,Bellevue,NE,68005,"$240,250 ",11/4/2022,10056
0003,1514 N 9th st,Bellevue,NE,68005,"$300,000 ",4/8/2022,168
0003,1608 Old Gaelic St,Bellevue,NE,68123,"$272,500 ",8/31/2022,10056
0003,1608 Washington Street,Bellevue,NE,68005,"$220,000 ",1/4/2022,10055
